,indicator,Year,Sex,Race/Ethnicity,Value,Place,95pc_con_lvl-low,95pc_con_lvl-high
1524,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Black,241.0,"Philadelphia, PA",228.8,253.1
1529,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,86.3,"Oakland (Alameda County), CA",61.0,118.4
1530,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,89.8,"Las Vegas (Clark County), NV",77.2,102.3
1531,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,97.1,"Seattle, WA",48.3,178.1
1534,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,113.8,"Philadelphia, PA",78.5,117.0
1541,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,132.2,"San Francisco, CA",118.6,147.0
1542,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,142.1,"San Antonio, TX",133.0,151.2
1550,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,34.4,"Las Vegas (Clark County), NV",10.6,58.2
1555,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,152.1,"Seattle, WA",71.6,298.2
1563,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,160.1,"San Francisco, CA",152.8,168.0
1565,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,164.5,"Oakland (Alameda County), CA",140.8,188.3
1566,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,164.9,"Seattle, WA",152.5,178.4
1569,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,174.1,"San Antonio, TX",164.1,184.1
1573,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,180.0,"Indianapolis (Marion County), IN",169.5,191.1
1576,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,189.8,"Las Vegas (Clark County), NV",182.1,197.5
1579,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,198.6,"Philadelphia, PA",188.8,208.4
1580,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,202.0,"Columbus, OH",187.1,217.0
1584,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,121.5,"San Antonio, TX",110.6,132.4
1585,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,128.3,"San Francisco, CA",122.6,134.3
1586,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,133.4,"Seattle, WA",120.8,147.3
1592,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,147.6,"Las Vegas (Clark County), NV",139.8,155.3
1593,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,149.2,"Oakland (Alameda County), CA",132.7,165.8
1596,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,158.3,"Indianapolis (Marion County), IN",147.2,170.2
1598,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,168.9,"Philadelphia, PA",160.5,177.3
1600,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,173.0,"Columbus, OH",157.9,188.0
1604,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,173.3,"San Antonio, TX",157.3,187.4
1606,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,178.6,"San Francisco, CA",171.1,186.4
1607,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,190.2,"Seattle, WA",173.0,208.8
1609,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,196.4,"Las Vegas (Clark County), NV",186.8,205.9
1612,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,206.3,"Oakland (Alameda County), CA",183.8,228.8
1617,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,226.8,"Indianapolis (Marion County), IN",210.8,243.7
1621,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,234.0,"Columbus, OH",212.8,255.2
1622,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,260.0,"Philadelphia, PA",247.3,272.7
1639,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,175.4,"Las Vegas (Clark County), NV",169.2,181.6
1640,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,176.3,"Portland (Multnomah County), OR",166.3,186.3
1644,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,192.2,"Indianapolis (Marion County), IN",182.8,202.0
1645,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,196.0,"Columbus, OH",183.8,208.2
1647,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,All,215.7,"Philadelphia, PA",208.4,223.0
1654,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,103.3,"Portland (Multnomah County), OR",76.4,136.6
1662,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,124.4,"Philadelphia, PA",97.9,150.8
1665,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,137.7,"Las Vegas (Clark County), NV",118.8,156.7
1675,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,200.2,"Las Vegas (Clark County), NV",177.4,223.1
1679,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,210.3,"Portland (Multnomah County), OR",164.6,264.9
1684,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,214.6,"Columbus, OH",189.5,239.7
1692,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,241.6,"Philadelphia, PA",229.6,253.6
1695,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,79.3,"Portland (Multnomah County), OR",44.4,130.7
1697,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,98.3,"Las Vegas (Clark County), NV",85.4,111.2
1710,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,133.7,"Philadelphia, PA",109.9,157.5
1723,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Other,55.3,"Las Vegas (Clark County), NV",27.3,83.3
1750,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,180.6,"Portland (Multnomah County), OR",169.7,191.5
1752,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,193.5,"Las Vegas (Clark County), NV",185.7,201.3
1753,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,196.3,"Columbus, OH",181.6,211.0
1754,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,205.4,"Philadelphia, PA",195.6,215.1
1771,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,153.6,"Las Vegas (Clark County), NV",145.7,161.4
1773,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,157.5,"Portland (Multnomah County), OR",144.8,170.2
1774,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,161.9,"Indianapolis (Marion County), IN",150.7,173.9
1777,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,171.1,"Columbus, OH",156.1,186.2
1779,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,186.2,"Philadelphia, PA",177.4,195.0
1792,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,204.4,"Las Vegas (Clark County), NV",194.6,214.3
1793,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,204.9,"Portland (Multnomah County), OR",188.2,221.5
1801,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,233.8,"Columbus, OH",212.8,254.8
1802,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,239.5,"Indianapolis (Marion County), IN",223.1,256.8
1803,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,264.8,"Philadelphia, PA",252.0,277.6
1817,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,173.0,"Las Vegas (Clark County), NV",166.8,179.1
1818,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,173.1,"Portland (Multnomah County), OR",163.3,182.9
1825,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,194.0,"Columbus, OH",181.9,206.1
1826,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,196.3,"Indianapolis (Marion County), IN",186.9,206.0
1827,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,207.1,"Philadelphia, PA",200.0,214.2
1830,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,398.4,"Oakland (Alameda County), CA",398.4,367.7
1839,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,100.0,"Philadelphia, PA",76.4,123.6
1847,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,127.0,"Las Vegas (Clark County), NV",109.6,144.4
1849,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,137.3,"Oakland (Alameda County), CA",137.3,113.0
1850,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,143.3,"Portland (Multnomah County), OR",110.6,182.7
1859,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,192.8,"Columbus, OH",169.1,216.4
1861,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,201.5,"Las Vegas (Clark County), NV",178.3,224.6
1865,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,210.4,"Oakland (Alameda County), CA",210.4,184.4
1873,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,232.3,"Indianapolis (Marion County), IN",210.6,255.8
1874,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,235.7,"Philadelphia, PA",223.9,247.5
1878,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,252.3,"Portland (Multnomah County), OR",201.8,311.5
1887,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,125.7,"Las Vegas (Clark County), NV",110.3,141.0
1896,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,138.4,"Oakland (Alameda County), CA",138.4,105.1
1898,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,162.6,"Philadelphia, PA",136.6,188.5
1907,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,40.7,"Las Vegas (Clark County), NV",20.1,61.3
1911,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,130.7,"Oakland (Alameda County), CA",130.7,67.5
1927,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,171.6,"Oakland (Alameda County), CA",171.6,148.2
1928,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,171.7,"Portland (Multnomah County), OR",161.2,182.2
1932,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,177.2,"Philadelphia, PA",168.1,186.2
1936,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,186.1,"Las Vegas (Clark County), NV",178.5,193.8
1937,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,192.0,"Indianapolis (Marion County), IN",181.2,203.3
1939,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,202.2,"Columbus, OH",187.3,217.2
1953,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,146.8,"Oakland (Alameda County), CA",130.8,162.9
1955,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,149.5,"Portland (Multnomah County), OR",137.3,161.7
1956,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,153.1,"Las Vegas (Clark County), NV",145.2,161.0
1958,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,158.3,"Indianapolis (Marion County), IN",147.3,170.0
1962,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,163.9,"Columbus, OH",149.2,178.6
1963,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,174.9,"Philadelphia, PA",166.4,183.4
1975,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,198.7,"Las Vegas (Clark County), NV",189.0,208.4
1977,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,201.9,"Oakland (Alameda County), CA",202.0,180.1
1979,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,207.0,"Portland (Multnomah County), OR",190.4,223.7
1986,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,241.8,"Columbus, OH",220.5,263.1
1987,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,253.5,"Indianapolis (Marion County), IN",236.8,271.2
1988,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,259.8,"Philadelphia, PA",247.1,272.4
1995,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,147.2,"San Francisco, CA",142.6,151.8
1998,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,155.5,"Fort Worth (Tarrant County), TX",149.2,161.7
2000,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,161.0,"Oakland (Alameda County), CA",148.3,173.6
2002,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,172.3,"Portland (Multnomah County), OR",162.5,182.0
2006,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,179.5,"Indianapolis (Marion County), IN",170.6,188.8
2007,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,180.2,"Las Vegas (Clark County), NV",173.9,186.5
2010,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,197.5,"Philadelphia, PA",190.6,204.4
2011,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,200.7,"Columbus, OH",188.4,213.0
2020,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,87.0,"Philadelphia, PA",65.5,108.4
2025,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,108.1,"Fort Worth (Tarrant County), TX",81.2,141.0
2027,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,130.7,"Portland (Multnomah County), OR",100.5,167.3
2029,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,132.0,"Oakland (Alameda County), CA",108.9,155.1
2030,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,135.2,"San Francisco, CA",128.5,142.3
2032,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,142.8,"Las Vegas (Clark County), NV",124.0,161.7
2042,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,188.5,"Fort Worth (Tarrant County), TX",166.8,210.1
2047,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,200.3,"Las Vegas (Clark County), NV",177.2,223.3
2048,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,214.3,"Indianapolis (Marion County), IN",193.9,236.5
2049,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,215.4,"Columbus, OH",190.2,240.7
2051,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,220.5,"Philadelphia, PA",209.1,231.8
2052,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,222.0,"Oakland (Alameda County), CA",195.4,248.6
2054,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,223.8,"San Francisco, CA",202.9,246.7
2056,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,241.3,"Portland (Multnomah County), OR",191.9,299.5
2061,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,105.0,"Fort Worth (Tarrant County), TX",89.4,120.6
2067,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,127.6,"Philadelphia, PA",106.5,148.6
2070,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,133.7,"Portland (Multnomah County), OR",82.8,204.4
2072,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,135.2,"San Francisco, CA",121.6,150.0
2073,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,138.2,"Las Vegas (Clark County), NV",122.1,154.2
2074,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,141.4,"Oakland (Alameda County), CA",106.8,183.6
2083,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Multiracial,124.7,"Philadelphia, PA",68.6,180.7
2085,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,47.2,"Las Vegas (Clark County), NV",23.3,71.1
2088,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,109.5,"Oakland (Alameda County), CA",52.5,201.3
2093,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,131.7,"Oakland (Alameda County), CA",111.4,152.1
2095,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,144.5,"San Francisco, CA",137.5,152.1
2101,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,163.0,"Fort Worth (Tarrant County), TX",155.5,170.6
2105,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,172.2,"Portland (Multnomah County), OR",161.8,182.6
2106,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,173.2,"Philadelphia, PA",164.3,182.1
2109,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,175.5,"Indianapolis (Marion County), IN",165.2,186.4
2112,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,191.8,"Las Vegas (Clark County), NV",184.1,199.6
2114,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,201.2,"Columbus, OH",186.3,216.0
2119,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,123.1,"San Francisco, CA",117.5,129.0
2124,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,135.7,"Fort Worth (Tarrant County), TX",128.0,143.4
2126,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,141.1,"Oakland (Alameda County), CA",125.4,156.8
2128,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,148.9,"Portland (Multnomah County), OR",136.9,160.9
2130,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,150.8,"Indianapolis (Marion County), IN",140.0,162.1
2133,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,157.2,"Las Vegas (Clark County), NV",149.2,165.2
2135,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,174.8,"Philadelphia, PA",166.3,183.3
2136,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Female,All,175.4,"Columbus, OH",160.2,190.5
2143,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,180.0,"San Francisco, CA",172.5,187.9
2145,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,184.7,"Fort Worth (Tarrant County), TX",174.0,195.4
2146,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,188.5,"Oakland (Alameda County), CA",167.4,209.6
2150,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,209.3,"Portland (Multnomah County), OR",192.5,226.1
2151,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,209.7,"Las Vegas (Clark County), NV",199.7,219.7
2155,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,222.6,"Indianapolis (Marion County), IN",207.2,239.0
2158,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,240.1,"Philadelphia, PA",228.2,252.1
2159,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Male,All,240.3,"Columbus, OH",219.1,261.6
2165,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,151.6,"San Antonio, TX",145.6,157.5
2168,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,156.1,"Fort Worth (Tarrant County), TX",149.9,162.2
2169,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,159.1,"Houston, TX",154.8,163.5
2171,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,160.8,"Portland (Multnomah County), OR",151.5,170.1
2174,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,180.6,"Indianapolis (Marion County), IN",171.7,189.9
2175,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,189.2,"Las Vegas (Clark County), NV",182.7,195.6
2176,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,192.1,"Detroit, MI",182.6,201.6
2178,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,200.1,"Philadelphia, PA",193.1,207.0
2179,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,All,204.0,"Columbus, OH",191.7,216.3
2185,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,96.7,"Portland (Multnomah County), OR",72.0,127.2
2187,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",2014,Both,Asian/PI,101.9,"Fort Worth (Tarrant County), TX",77.2,132.0
