,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
18162,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,White,78.2,"Columbus, OH",65.0,91.5
18164,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Both,White,81.2,"San Antonio, TX",74.7,86.3
18167,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Female,All,62.6,"Detroit, MI",50.4,73.5
18171,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Female,All,66.5,"Las Vegas (Clark County), NV",57.0,76.1
18172,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Female,All,66.6,"Houston, TX",60.1,72.5
18174,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Female,All,72.3,"Charlotte, NC",62.4,82.2
18175,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Female,All,72.3,"San Antonio, TX",63.2,79.8
18181,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Male,All,57.5,"Charlotte, NC",43.9,71.1
18182,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Male,All,57.5,"Detroit, MI",40.9,72.6
18185,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Male,All,59.6,"Houston, TX",50.2,68.3
18187,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Male,All,65.1,"San Antonio, TX",51.9,76.4
18190,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2011,Male,All,70.7,"Las Vegas (Clark County), NV",61.7,79.8
18195,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,All,50.9,"Detroit, MI",41.7,60.0
18197,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,All,60.3,"Las Vegas (Clark County), NV",54.4,66.1
18198,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,All,60.7,"San Diego County, CA",52.2,69.3
18200,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,All,65.2,"Charlotte, NC",56.2,74.1
18202,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,All,70.7,"Fort Worth (Tarrant County), TX",63.0,78.5
18203,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,All,71.5,"Houston, TX",63.6,78.2
18204,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,All,71.9,"San Antonio, TX",61.2,80.5
18207,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,All,77.9,"Columbus, OH",64.9,90.9
18209,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,Asian/PI,7.4,"Las Vegas (Clark County), NV",0.0,19.7
18213,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,Black,46.9,"Las Vegas (Clark County), NV",25.7,68.1
18214,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,Black,47.2,"Detroit, MI",37.4,57.3
18216,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,Black,54.3,"Charlotte, NC",32.5,76.1
18223,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,Hispanic,32.8,"Las Vegas (Clark County), NV",15.3,50.2
18231,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,Other,66.9,"Las Vegas (Clark County), NV",40.5,93.3
18237,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,White,66.5,"San Diego County, CA",59.4,73.6
18239,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,White,69.0,"Charlotte, NC",59.0,78.9
18240,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,White,70.1,"Las Vegas (Clark County), NV",64.8,75.5
18244,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,White,74.8,"Houston, TX",66.5,81.6
18245,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,White,77.4,"Columbus, OH",64.0,90.9
18246,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,White,78.6,"Detroit, MI",65.0,87.8
18247,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Both,White,82.6,"San Antonio, TX",72.8,89.4
18250,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Female,All,51.1,"Detroit, MI",43.3,58.9
18251,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Female,All,61.1,"Las Vegas (Clark County), NV",53.9,68.2
18252,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Female,All,61.5,"Charlotte, NC",49.6,73.5
18255,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Female,All,70.7,"Houston, TX",60.3,79.4
18258,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Female,All,71.5,"San Diego County, CA",59.2,83.7
18259,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Female,All,71.6,"San Antonio, TX",57.1,82.7
18261,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Female,All,78.8,"Columbus, OH",62.1,95.5
18264,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Male,All,47.2,"San Diego County, CA",35.6,58.7
18266,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Male,All,50.4,"Detroit, MI",29.0,71.6
18268,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Male,All,59.4,"Las Vegas (Clark County), NV",49.9,68.9
18271,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Male,All,69.7,"Charlotte, NC",56.3,83.1
18272,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Male,All,72.2,"San Antonio, TX",55.7,84.3
18273,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2012,Male,All,72.3,"Houston, TX",59.9,82.0
18278,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,41.1,"Detroit, MI",29.7,53.7
18280,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,53.8,"New York City, NY",48.6,58.9
18281,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,57.4,"San Diego County, CA",47.1,67.7
18283,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,60.8,"Charlotte, NC",49.4,72.2
18284,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,60.8,"Houston, TX",50.6,70.1
18285,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,62.2,"Indianapolis (Marion County), IN",55.8,68.7
18286,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,64.2,"Las Vegas (Clark County), NV",58.1,70.4
18288,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,68.1,"Columbus, OH",55.3,80.8
18293,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,All,75.1,"Fort Worth (Tarrant County), TX",68.8,81.4
18295,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,Asian/PI,74.7,"Las Vegas (Clark County), NV",39.8,100.0
18298,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,Black,38.7,"Charlotte, NC",14.1,63.4
18299,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,Black,38.9,"Detroit, MI",26.3,53.2
18301,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,Black,56.7,"Las Vegas (Clark County), NV",33.2,80.3
18312,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,Hispanic,79.2,"Las Vegas (Clark County), NV",57.8,100.0
18316,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,Other,36.0,"Las Vegas (Clark County), NV",0.0,72.0
18321,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,White,60.2,"New York City, NY",54.6,65.6
18322,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,White,62.1,"Indianapolis (Marion County), IN",55.2,69.0
18324,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,White,63.7,"Las Vegas (Clark County), NV",57.1,70.3
18325,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,White,63.8,"Houston, TX",52.6,73.6
18326,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,White,64.1,"San Diego County, CA",54.6,73.6
18327,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,White,64.2,"Columbus, OH",48.7,79.8
18329,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Both,White,70.8,"Charlotte, NC",58.9,82.8
18336,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Female,All,45.1,"Detroit, MI",31.3,59.7
18338,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Female,All,49.9,"San Diego County, CA",37.0,62.9
18339,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Female,All,57.6,"New York City, NY",51.4,63.6
18340,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Female,All,61.8,"Charlotte, NC",45.7,77.8
18342,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Female,All,62.2,"Indianapolis (Marion County), IN",54.5,69.9
18343,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Female,All,66.0,"Las Vegas (Clark County), NV",58.4,73.5
18345,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Female,All,67.9,"Houston, TX",55.6,78.2
18346,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Female,All,69.3,"Columbus, OH",56.1,82.5
18352,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Male,All,36.5,"Detroit, MI",19.9,57.1
18354,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Male,All,47.9,"New York City, NY",39.2,56.7
18356,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Male,All,59.7,"Charlotte, NC",45.7,77.8
18358,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Male,All,62.2,"Las Vegas (Clark County), NV",52.1,72.4
18362,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2013,Male,All,67.8,"San Diego County, CA",51.0,84.6
18367,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,6.9,"Seattle, WA",5.1,9.4
18368,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,54.9,"Detroit, MI",43.8,65.6
18369,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,59.0,"New York City, NY",53.6,64.2
18370,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,59.0,"San Diego County, CA",50.4,67.6
18372,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,64.7,"Charlotte, NC",55.9,73.4
18373,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,64.8,"Indianapolis (Marion County), IN",59.4,70.2
18374,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,67.5,"Kansas City, MO",55.5,79.6
18375,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,69.6,"Fort Worth (Tarrant County), TX",61.3,78.0
18376,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,71.1,"Las Vegas (Clark County), NV",65.8,76.4
18377,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,73.1,"San Antonio, TX",67.5,78.1
18378,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,76.3,"Denver, CO",69.9,82.7
18379,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,77.2,"Portland (Multnomah County), OR",70.8,83.6
18380,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,All,81.7,"Columbus, OH",70.1,93.4
18381,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,Asian/PI,6.0,"Seattle, WA",2.2,14.7
18382,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,Asian/PI,98.4,"Las Vegas (Clark County), NV",95.0,100.0
18386,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,Black,42.5,"Charlotte, NC",20.8,64.2
18388,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,Black,56.0,"Detroit, MI",43.8,67.6
18389,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,Black,56.9,"Las Vegas (Clark County), NV",38.0,75.8
18396,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,Hispanic,62.5,"Las Vegas (Clark County), NV",38.8,86.3
18397,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,Hispanic,67.6,"San Antonio, TX",56.6,77.0
18402,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,Other,67.5,"Las Vegas (Clark County), NV",20.3,100.0
18408,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,7.1,"Seattle, WA",5.0,10.3
18409,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,57.7,"San Diego County, CA",47.7,67.7
18410,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,64.0,"Indianapolis (Marion County), IN",58.0,70.0
18412,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,66.0,"New York City, NY",59.8,71.6
18413,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,70.4,"Las Vegas (Clark County), NV",64.6,76.3
18414,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,75.3,"Charlotte, NC",66.2,84.5
18415,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,76.2,"San Antonio, TX",69.8,81.5
18416,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,78.0,"Denver, CO",71.2,84.8
18417,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Both,White,82.8,"Columbus, OH",69.6,96.1
18419,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,6.3,"Seattle, WA",4.1,9.7
18420,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,53.2,"San Diego County, CA",41.6,64.7
18421,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,57.0,"Detroit, MI",43.1,70.0
18422,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,57.8,"New York City, NY",51.1,64.3
18424,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,65.0,"Indianapolis (Marion County), IN",58.3,71.8
18425,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,70.1,"Charlotte, NC",59.7,80.5
18426,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,74.4,"Las Vegas (Clark County), NV",68.1,80.7
18427,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,79.9,"San Antonio, TX",73.3,85.1
18428,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,82.4,"Denver, CO",76.1,88.7
18429,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,82.6,"Portland (Multnomah County), OR",75.6,89.6
18430,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Female,All,86.4,"Columbus, OH",76.9,95.9
18432,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,7.9,"Seattle, WA",4.8,12.5
18433,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,55.8,"Charlotte, NC",40.6,71.1
18435,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,60.7,"New York City, NY",51.9,68.9
18436,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,64.2,"San Antonio, TX",54.6,72.8
18437,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,64.4,"Indianapolis (Marion County), IN",55.4,73.4
18438,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,65.0,"San Diego County, CA",52.1,78.0
18439,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,67.2,"Las Vegas (Clark County), NV",58.4,76.0
18440,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,68.9,"Denver, CO",57.6,80.2
18441,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2014,Male,All,69.7,"Portland (Multnomah County), OR",57.9,81.4
18443,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,8.2,"Seattle, WA",6.2,10.8
18444,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,55.4,"Charlotte, NC",43.2,67.7
18446,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,60.1,"San Diego County, CA",53.2,66.9
18447,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,64.2,"New York City, NY",59.9,68.3
18448,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,64.7,"Columbus, OH",50.9,78.6
18449,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,68.4,"Indianapolis (Marion County), IN",60.8,75.9
18450,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,69.4,"Las Vegas (Clark County), NV",62.9,76.0
18451,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,72.4,"Fort Worth (Tarrant County), TX",62.6,82.2
18452,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,74.9,"San Antonio, TX",65.2,82.6
18453,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,78.0,"Portland (Multnomah County), OR",72.0,84.1
18455,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,All,87.0,"Denver, CO",81.4,92.6
18456,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,Asian/PI,10.4,"Seattle, WA",5.3,19.8
18457,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,Asian/PI,64.0,"Las Vegas (Clark County), NV",32.8,95.3
18462,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,Black,10.6,"Seattle, WA",3.3,26.0
18463,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,Black,36.4,"Charlotte, NC",13.0,57.8
18464,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,Black,62.6,"Las Vegas (Clark County), NV",41.1,84.0
18465,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,Black,65.3,"New York City, NY",56.4,73.2
18472,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,Hispanic,63.6,"Las Vegas (Clark County), NV",34.0,93.2
18479,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,Other,69.9,"Las Vegas (Clark County), NV",37.7,100.0
18486,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,7.1,"Seattle, WA",5.1,10.3
18487,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,62.3,"Columbus, OH",46.0,78.7
18488,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,64.3,"San Diego County, CA",56.6,72.0
18489,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,65.8,"Indianapolis (Marion County), IN",57.6,73.9
18490,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,69.2,"New York City, NY",64.0,74.0
18491,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,69.8,"Charlotte, NC",57.0,82.5
18492,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,71.9,"Las Vegas (Clark County), NV",64.8,78.9
18493,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,78.7,"San Antonio, TX",65.7,87.7
18494,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Both,White,86.3,"Denver, CO",78.9,93.7
18496,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,8.7,"Seattle, WA",6.1,12.5
18497,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,54.0,"Charlotte, NC",40.9,67.1
18498,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,60.1,"San Diego County, CA",50.2,70.1
18499,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,65.5,"New York City, NY",60.0,70.6
18500,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,66.4,"Las Vegas (Clark County), NV",57.9,74.9
18501,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,75.8,"Columbus, OH",64.7,86.8
18502,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,80.1,"Portland (Multnomah County), OR",72.6,87.5
18503,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,80.5,"San Antonio, TX",67.7,89.1
18504,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Female,All,87.0,"Denver, CO",80.0,93.9
18506,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Male,All,7.3,"Seattle, WA",4.4,11.6
18507,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Male,All,57.9,"Charlotte, NC",33.0,82.9
18508,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Male,All,60.0,"San Diego County, CA",50.5,69.6
18509,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Male,All,62.4,"New York City, NY",55.4,68.8
18510,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Male,All,67.5,"San Antonio, TX",51.7,80.0
18511,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Male,All,73.2,"Las Vegas (Clark County), NV",63.1,83.4
18512,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Male,All,75.4,"Portland (Multnomah County), OR",65.3,85.4
18513,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2015,Male,All,87.1,"Denver, CO",77.4,96.7
18517,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2016,Both,All,76.3,"Columbus, OH",67.0,85.6
18518,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2016,Both,All,78.9,"Denver, CO",73.6,84.2
18527,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2016,Both,White,74.8,"Columbus, OH",63.1,86.5
18528,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2016,Both,White,83.9,"Denver, CO",78.8,89.0
18529,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2016,Female,All,72.8,"Columbus, OH",60.0,85.6
18530,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2016,Female,All,81.0,"Denver, CO",75.0,86.9
18531,Percent of Adults 65 and Over Who Received Pneumonia Vaccine,2016,Male,All,76.3,"Denver, CO",67.3,85.4
18533,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,All,40.2,"Charlotte, NC",34.6,45.7
18534,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,All ,49.0,"Seattle, WA",44.0,54.0
18535,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,Asian/PI,55.0,"Seattle, WA",38.0,71.0
18536,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,Black,29.3,"Charlotte, NC",19.4,39.2
18537,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,Black,47.0,"Seattle, WA",29.0,65.0
18538,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,Hispanic,33.0,"Seattle, WA",18.0,53.0
