,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
25061,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,American Indian/Alaska Native,871.9,"San Diego County, CA",706.9,1036.9
25070,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,433.5,"San Diego County, CA",410.2,456.9
25071,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,435.3,"Portland (Multnomah County), OR",373.3,497.3
25076,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,526.8,"San Antonio, TX",433.5,620.0
25077,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,527.1,"Las Vegas (Clark County), NV",487.6,566.6
25078,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Asian/PI,611.0,"Columbus, OH",450.5,810.1
25083,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,813.3,"San Diego County, CA",758.5,868.0
25086,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,845.8,"Portland (Multnomah County), OR",746.2,945.4
25088,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,886.4,"San Antonio, TX",826.8,946.0
25091,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,949.8,"Indianapolis (Marion County), IN",904.9,996.4
25093,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,961.0,"Las Vegas (Clark County), NV",910.6,1011.4
25095,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Black,990.5,"Columbus, OH",936.4,1044.7
25100,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,387.1,"Columbus, OH",274.0,531.4
25101,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,402.2,"Portland (Multnomah County), OR",304.4,499.9
25103,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,418.1,"Indianapolis (Marion County), IN",314.4,549.0
25109,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,519.6,"Las Vegas (Clark County), NV",489.5,549.7
25111,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,526.9,"San Diego County, CA",506.6,547.1
25115,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Hispanic,712.3,"San Antonio, TX",692.0,732.5
25120,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Other,181.9,"Las Vegas (Clark County), NV",133.8,230.0
25121,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,Other,321.1,"Columbus, OH",205.7,477.7
25130,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,670.8,"San Diego County, CA",659.6,682.0
25134,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,743.9,"San Antonio, TX",723.3,764.4
25137,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,769.1,"Portland (Multnomah County), OR",746.9,791.3
25138,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,771.8,"Indianapolis (Marion County), IN",749.9,794.2
25141,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,891.6,"Las Vegas (Clark County), NV",874.3,908.9
25142,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Both,White,954.5,"Columbus, OH",922.1,986.9
25148,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,537.0,"San Diego County, CA",526.2,547.8
25153,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,629.4,"San Antonio, TX",612.9,645.9
25155,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,643.0,"Portland (Multnomah County), OR",618.0,667.9
25156,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,667.8,"Indianapolis (Marion County), IN",645.1,691.1
25159,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,697.1,"Las Vegas (Clark County), NV",679.9,714.4
25161,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Female,All,805.9,"Columbus, OH",773.8,837.9
25165,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,741.6,"San Diego County, CA",726.9,756.2
25171,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,871.9,"San Antonio, TX",848.7,895.0
25172,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,894.2,"Portland (Multnomah County), OR",859.1,929.3
25175,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,926.1,"Las Vegas (Clark County), NV",904.8,947.3
25177,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,978.5,"Indianapolis (Marion County), IN",945.1,1012.9
25180,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2011,Male,All,1115.4,"Columbus, OH",1069.3,1161.4
25187,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,616.1,"San Diego County, CA",607.4,624.7
25193,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,742.8,"Portland (Multnomah County), OR",722.6,763.0
25197,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,805.0,"Indianapolis (Marion County), IN",785.9,824.4
25198,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,815.5,"Las Vegas (Clark County), NV",801.8,829.1
25202,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,949.8,"Columbus, OH",923.1,976.4
25205,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,All,1704.6,"Oakland (Alameda County), CA",1640.3,1769.0
25209,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,American Indian/Alaska Native,620.9,"Portland (Multnomah County), OR",412.6,897.3
25211,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,American Indian/Alaska Native,875.9,"San Diego County, CA",710.2,1041.7
25222,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,408.9,"San Diego County, CA",387.1,430.7
25225,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,471.7,"Oakland (Alameda County), CA",427.3,516.2
25228,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,510.9,"Portland (Multnomah County), OR",444.6,577.2
25229,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,561.2,"Las Vegas (Clark County), NV",520.6,601.9
25230,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Asian/PI,619.2,"Columbus, OH",456.5,820.9
25235,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,758.0,"San Diego County, CA",706.4,809.6
25244,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,938.5,"Indianapolis (Marion County), IN",894.5,984.3
25245,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,975.0,"Columbus, OH",921.4,1028.6
25247,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,981.7,"Portland (Multnomah County), OR",875.7,1087.6
25250,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,1010.6,"Oakland (Alameda County), CA",952.6,1068.6
25252,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Black,1020.6,"Las Vegas (Clark County), NV",968.4,1072.8
25258,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,379.4,"Indianapolis (Marion County), IN",283.8,500.6
25260,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,444.0,"Portland (Multnomah County), OR",340.6,547.3
25261,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,474.9,"Columbus, OH",355.7,621.1
25265,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,517.4,"San Diego County, CA",497.8,537.1
25270,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,548.9,"Oakland (Alameda County), CA",469.0,628.8
25271,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Hispanic,565.0,"Las Vegas (Clark County), NV",532.9,597.1
25281,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,193.8,"Las Vegas (Clark County), NV",147.1,240.6
25282,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,196.5,"Columbus, OH",120.0,303.4
25284,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,Other,422.7,"Oakland (Alameda County), CA",310.6,562.1
25292,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,661.2,"Oakland (Alameda County), CA",615.0,707.5
25293,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,662.5,"San Diego County, CA",651.4,673.5
25300,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,746.2,"Portland (Multnomah County), OR",724.5,767.8
25303,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,787.0,"Indianapolis (Marion County), IN",765.0,809.5
25307,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,883.2,"Las Vegas (Clark County), NV",866.0,900.3
25309,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Both,White,971.5,"Columbus, OH",938.9,1004.1
25317,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,521.7,"San Diego County, CA",511.2,532.3
25319,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,578.6,"Oakland (Alameda County), CA",547.4,609.9
25323,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,629.8,"Portland (Multnomah County), OR",605.5,654.2
25327,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,654.5,"Indianapolis (Marion County), IN",632.3,677.5
25329,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,700.3,"Las Vegas (Clark County), NV",683.0,717.6
25332,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Female,All,815.7,"Columbus, OH",783.5,847.9
25338,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,729.6,"San Diego County, CA",715.3,744.0
25344,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,843.7,"Oakland (Alameda County), CA",798.7,888.6
25348,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,883.4,"Portland (Multnomah County), OR",848.9,917.9
25350,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,945.1,"Las Vegas (Clark County), NV",923.5,966.7
25353,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,1006.3,"Indianapolis (Marion County), IN",972.7,1040.9
25357,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2012,Male,All,1127.6,"Columbus, OH",1081.4,1173.8
25360,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,578.0,"San Francisco, CA",569.2,587.1
25365,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,618.2,"San Diego County, CA",609.7,626.8
25366,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,683.4,"Oakland (Alameda County), CA",657.6,709.2
25369,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,744.2,"Fort Worth (Tarrant County), TX",730.4,758.0
25371,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,759.9,"Portland (Multnomah County), OR",739.7,780.1
25373,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,787.5,"Indianapolis (Marion County), IN",768.8,806.6
25377,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,829.1,"Las Vegas (Clark County), NV",815.4,842.9
25378,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,863.5,"Philadelphia, PA",849.2,877.9
25379,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,All,952.9,"Columbus, OH",926.2,979.6
25384,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,American Indian/Alaska Native,803.7,"Portland (Multnomah County), OR",565.8,1107.7
25385,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,American Indian/Alaska Native,851.1,"San Diego County, CA",689.5,1012.7
25396,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,411.1,"San Diego County, CA",389.9,432.4
25398,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,432.8,"Fort Worth (Tarrant County), TX",372.2,493.4
25400,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,450.7,"Portland (Multnomah County), OR",390.0,511.3
25402,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,469.7,"San Francisco, CA",457.3,482.6
25403,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,477.2,"Oakland (Alameda County), CA",433.2,521.1
25405,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,611.9,"Las Vegas (Clark County), NV",568.9,654.9
25406,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Asian/PI,662.3,"Columbus, OH",501.6,858.0
25413,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,771.3,"San Diego County, CA",720.3,822.3
25417,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,826.8,"Fort Worth (Tarrant County), TX",781.3,872.3
25419,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,933.0,"Indianapolis (Marion County), IN",889.7,978.0
25423,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,979.7,"San Francisco, CA",935.0,1026.5
25424,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,982.1,"Portland (Multnomah County), OR",875.7,1088.5
25427,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,996.5,"Oakland (Alameda County), CA",938.9,1054.0
25428,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,1011.7,"Las Vegas (Clark County), NV",960.1,1063.3
25429,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Black,1034.9,"Columbus, OH",979.3,1090.5
25433,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,412.6,"Indianapolis (Marion County), IN",316.0,533.2
25434,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,426.3,"Columbus, OH",317.4,560.6
25437,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,481.7,"Portland (Multnomah County), OR",376.2,587.1
25440,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,515.1,"San Diego County, CA",495.9,534.3
25441,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,524.3,"Fort Worth (Tarrant County), TX",488.0,560.6
25444,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,553.8,"Oakland (Alameda County), CA",476.2,631.5
25447,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,614.3,"Las Vegas (Clark County), NV",580.6,648.0
25448,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Hispanic,617.1,"San Francisco, CA",588.1,647.2
25457,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,230.1,"Las Vegas (Clark County), NV",176.6,283.6
25458,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,251.8,"Columbus, OH",165.9,366.3
25460,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,Other,442.0,"Oakland (Alameda County), CA",322.4,591.5
25463,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,580.9,"San Francisco, CA",567.1,595.2
25464,"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2013,Both,White,601.7,"Oakland (Alameda County), CA",558.2,645.2
